50	0.000873
52	0.000775
54	0.000671
56	0.00057
58	0.000482
60	0.000411
62	0.000357
64	0.000317
66	0.000289
68	0.000269
70	0.000254
72	0.000243
74	0.000235
76	0.000229
78	0.000224
80	0.000219
82	0.000216
84	0.000213
86	0.000211
88	0.000209
90	0.000208
92	0.000207
94	0.000207
96	0.000208
98	0.000208
100	0.00021
102	0.000213
104	0.000215
106	0.000218
108	0.000221
110	0.000226
112	0.00023
114	0.000234
116	0.000239
118	0.000244
120	0.00025
122	0.000255
124	0.000261
126	0.000267
128	0.000272
130	0.000277
132	0.000283
134	0.00029
136	0.000296
138	0.000303
140	0.000311
142	0.00032
144	0.000329
146	0.000341
148	0.000356
150	0.000374
